type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU BB,3Y,Zero coupon,3.16,3.16,3.16
Rating,FIMMDA,PSU BB,4Y,Zero coupon,3.15,3.15,3.15
Rating,FIMMDA,PSU BB,5Y,Zero coupon,3.16,3.16,3.16
Rating,FIMMDA,PSU BB,6Y,Zero coupon,3.2,3.2,3.2
Rating,FIMMDA,PSU BB,7Y,Zero coupon,3.22,3.22,3.22
Rating,FIMMDA,PSU BB,8Y,Zero coupon,3.25,3.25,3.25
Rating,FIMMDA,PSU BB,9Y,Zero coupon,3.18,3.18,3.18
Rating,FIMMDA,PSU BB,10Y,Zero coupon,3.15,3.15,3.15
Rating,FIMMDA,PSU Unrated,6M,Zero coupon,3.176,3.176,3.176
Rating,FIMMDA,PSU Unrated,1Y,Zero coupon,3.063,3.063,3.063
Rating,FIMMDA,PSU Unrated,2Y,Zero coupon,3.225,3.225,3.225
Rating,FIMMDA,PSU Unrated,3Y,Zero coupon,3.325,3.325,3.325
Rating,FIMMDA,PSU Unrated,4Y,Zero coupon,3.313,3.313,3.313
Rating,FIMMDA,PSU Unrated,5Y,Zero coupon,3.3,3.3,3.3
Rating,FIMMDA,PSU Unrated,6Y,Zero coupon,3.35,3.35,3.35
Rating,FIMMDA,PSU Unrated,7Y,Zero coupon,3.4,3.4,3.4
Rating,FIMMDA,PSU Unrated,8Y,Zero coupon,3.413,3.413,3.413
Rating,FIMMDA,PSU Unrated,9Y,Zero coupon,3.35,3.35,3.35
Rating,FIMMDA,PSU Unrated,10Y,Zero coupon,3.313,3.313,3.313
Rating,FIMMDA,NBFC AAA,6M,Zero coupon,1.14,1.14,1.14
Rating,FIMMDA,NBFC AAA,1Y,Zero coupon,1.05,1.05,1.05
Rating,FIMMDA,NBFC AAA,2Y,Zero coupon,1.17,1.17,1.17
Rating,FIMMDA,NBFC AAA,3Y,Zero coupon,1.25,1.25,1.25
Rating,FIMMDA,NBFC AAA,4Y,Zero coupon,1.19,1.19,1.19
Rating,FIMMDA,NBFC AAA,5Y,Zero coupon,1.15,1.15,1.15
Rating,FIMMDA,NBFC AAA,6Y,Zero coupon,1.11,1.11,1.11
Rating,FIMMDA,NBFC AAA,7Y,Zero coupon,1.06,1.06,1.06
Rating,FIMMDA,NBFC AAA,8Y,Zero coupon,1.07,1.07,1.07
Rating,FIMMDA,NBFC AAA,9Y,Zero coupon,1.06,1.06,1.06
Rating,FIMMDA,NBFC AAA,10Y,Zero coupon,1.05,1.05,1.05
Rating,FIMMDA,NBFC AA+,6M,Zero coupon,1.36,1.36,1.36
Rating,FIMMDA,NBFC AA+,1Y,Zero coupon,1.27,1.27,1.27
Rating,FIMMDA,NBFC AA+,2Y,Zero coupon,1.36,1.36,1.36
Rating,FIMMDA,NBFC AA+,3Y,Zero coupon,1.4,1.4,1.4
Rating,FIMMDA,NBFC AA+,4Y,Zero coupon,1.43,1.43,1.43
Rating,FIMMDA,NBFC AA+,5Y,Zero coupon,1.47,1.47,1.47
Rating,FIMMDA,NBFC AA+,6Y,Zero coupon,1.41,1.41,1.41
Rating,FIMMDA,NBFC AA+,7Y,Zero coupon,1.37,1.37,1.37
Rating,FIMMDA,NBFC AA+,8Y,Zero coupon,1.36,1.36,1.36
