type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,PSU,4Y,Asset Swap,315.0,315.0,315.0
Rating,FIMMDA,PSU,5Y,Asset Swap,316.0,316.0,316.0
Rating,FIMMDA,PSU,6Y,Asset Swap,320.0,320.0,320.0
Rating,FIMMDA,PSU,7Y,Asset Swap,322.0,322.0,322.0
Rating,FIMMDA,PSU,8Y,Asset Swap,325.0,325.0,325.0
Rating,FIMMDA,PSU,9Y,Asset Swap,318.0,318.0,318.0
Rating,FIMMDA,PSU,10Y,Asset Swap,315.0,315.0,315.0
Rating,FIMMDA,PSU,6M,Asset Swap,317.6,317.6,317.6
Rating,FIMMDA,PSU,1Y,Asset Swap,306.3,306.3,306.3
Rating,FIMMDA,PSU,2Y,Asset Swap,322.5,322.5,322.5
Rating,FIMMDA,PSU,3Y,Asset Swap,332.5,332.5,332.5
Rating,FIMMDA,PSU,4Y,Asset Swap,331.3,331.3,331.3
Rating,FIMMDA,PSU,5Y,Asset Swap,330.0,330.0,330.0
Rating,FIMMDA,PSU,6Y,Asset Swap,335.0,335.0,335.0
Rating,FIMMDA,PSU,7Y,Asset Swap,340.0,340.0,340.0
Rating,FIMMDA,PSU,8Y,Asset Swap,341.3,341.3,341.3
Rating,FIMMDA,PSU,9Y,Asset Swap,335.0,335.0,335.0
Rating,FIMMDA,PSU,10Y,Asset Swap,331.3,331.3,331.3
Rating,FIMMDA,NBFC,6M,Asset Swap,114,114,114
Rating,FIMMDA,NBFC,1Y,Asset Swap,105,105,105
Rating,FIMMDA,NBFC,2Y,Asset Swap,117,117,117
Rating,FIMMDA,NBFC,3Y,Asset Swap,125,125,125
Rating,FIMMDA,NBFC,4Y,Asset Swap,119,119,119
Rating,FIMMDA,NBFC,5Y,Asset Swap,115,115,115
Rating,FIMMDA,NBFC,6Y,Asset Swap,111,111,111
Rating,FIMMDA,NBFC,7Y,Asset Swap,106,106,106
Rating,FIMMDA,NBFC,8Y,Asset Swap,107,107,107
Rating,FIMMDA,NBFC,9Y,Asset Swap,106,106,106
Rating,FIMMDA,NBFC,10Y,Asset Swap,105,105,105
Rating,FIMMDA,NBFC,6M,Asset Swap,136,136,136
Rating,FIMMDA,NBFC,1Y,Asset Swap,127,127,127
Rating,FIMMDA,NBFC,2Y,Asset Swap,136,136,136
Rating,FIMMDA,NBFC,3Y,Asset Swap,140,140,140
Rating,FIMMDA,NBFC,4Y,Asset Swap,143,143,143
Rating,FIMMDA,NBFC,5Y,Asset Swap,147,147,147
Rating,FIMMDA,NBFC,6Y,Asset Swap,141,141,141
Rating,FIMMDA,NBFC,7Y,Asset Swap,137,137,137
Rating,FIMMDA,NBFC,8Y,Asset Swap,136,136,136
