type,subType,label,maturity,nature,spreadAsk,spreadBid,spreadMid
Rating,FIMMDA,NBFC BB+,3Y,Zero coupon,500.0,500.0,500.0
Rating,FIMMDA,NBFC BB+,4Y,Zero coupon,502.0,502.0,502.0
Rating,FIMMDA,NBFC BB+,5Y,Zero coupon,504.0,504.0,504.0
Rating,FIMMDA,NBFC BB+,6Y,Zero coupon,500.0,500.0,500.0
Rating,FIMMDA,NBFC BB+,7Y,Zero coupon,498.0,498.0,498.0
Rating,FIMMDA,NBFC BB+,8Y,Zero coupon,502.0,502.0,502.0
Rating,FIMMDA,NBFC BB+,9Y,Zero coupon,503.0,503.0,503.0
Rating,FIMMDA,NBFC BB+,10Y,Zero coupon,500.0,500.0,500.0
Rating,FIMMDA,NBFC BB,6M,Zero coupon,538.1,538.1,538.1
Rating,FIMMDA,NBFC BB,1Y,Zero coupon,529.0,529.0,529.0
Rating,FIMMDA,NBFC BB,2Y,Zero coupon,542.0,542.0,542.0
Rating,FIMMDA,NBFC BB,3Y,Zero coupon,550.0,550.0,550.0
Rating,FIMMDA,NBFC BB,4Y,Zero coupon,552.0,552.0,552.0
Rating,FIMMDA,NBFC BB,5Y,Zero coupon,554.0,554.0,554.0
Rating,FIMMDA,NBFC BB,6Y,Zero coupon,550.0,550.0,550.0
Rating,FIMMDA,NBFC BB,7Y,Zero coupon,548.0,548.0,548.0
Rating,FIMMDA,NBFC BB,8Y,Zero coupon,552.0,552.0,552.0
Rating,FIMMDA,NBFC BB,9Y,Zero coupon,554.0,554.0,554.0
Rating,FIMMDA,NBFC BB,10Y,Zero coupon,550.0,550.0,550.0
Rating,FIMMDA,NBFC Unrated,6M,Zero coupon,547.6,547.6,547.6
Rating,FIMMDA,NBFC Unrated,1Y,Zero coupon,536.3,536.3,536.3
Rating,FIMMDA,NBFC Unrated,2Y,Zero coupon,552.5,552.5,552.5
Rating,FIMMDA,NBFC Unrated,3Y,Zero coupon,562.5,562.5,562.5
Rating,FIMMDA,NBFC Unrated,4Y,Zero coupon,565.0,565.0,565.0
Rating,FIMMDA,NBFC Unrated,5Y,Zero coupon,567.5,567.5,567.5
Rating,FIMMDA,NBFC Unrated,6Y,Zero coupon,562.5,562.5,562.5
Rating,FIMMDA,NBFC Unrated,7Y,Zero coupon,560.0,560.0,560.0
Rating,FIMMDA,NBFC Unrated,8Y,Zero coupon,565.0,565.0,565.0
Rating,FIMMDA,NBFC Unrated,9Y,Zero coupon,565.0,565.0,565.0
Rating,FIMMDA,NBFC Unrated,10Y,Zero coupon,562.5,562.5,562.5
